player_id,display_name,full_name,short_name,country,role,batting_style,bowling_style,date_of_birth,career_start,career_end,photo_url,key_cricinfo,photo_source,key_cricbuzz
55,Ava Canning,Ava Canning,A Canning,Ireland,Bowler,Right-hand bat,Right-arm medium,2004-02-02,2021-05-24,2026-06-13,ASSETS/player_photos/55.jpg,1229015.0,LOCAL_PLAYER_PHOTO,
56,Alice Capsey,Alice Capsey,A Capsey,England,Batting Allrounder,Right-hand bat,Right-arm offbreak,2004-08-11,2020-08-29,2026-09-01,ASSETS/player_photos/56.jpg,1187120.0,LOCAL_PLAYER_PHOTO,
57,Andrew Carter,Andrew Carter,A Carter,United Kingdom,Batter,Right-hand bat,Right-arm medium,1988-08-27,2014-04-27,2018-08-12,ASSETS/player_photos/57.jpg,297595.0,LOCAL_PLAYER_PHOTO,
58,A Cassim,Athumani Cassim,A Cassim,Tanzania,Top order Batter,Not Available,Not Available,Not Available,2016-05-22,2016-05-24,ASSETS/player_photos/58.jpg,1013209.0,LOCAL_PLAYER_PHOTO,
59,A Cawley,Aaron Cawley,A Cawley,Ireland,Bowler,Right-hand bat,Right-arm fast-medium,1999-10-15,2020-08-20,2021-09-19,ASSETS/player_photos/59.jpg,1112205.0,LOCAL_PLAYER_PHOTO,
60,A Cespedes,Ana Cespedes,A Cespedes,Costa Rica,Middle order Batter,Right-hand bat,Left-arm medium-fast,1974-04-12,2024-11-16,2024-11-17,ASSETS/player_photos/60.jpg,1210411.0,LOCAL_PLAYER_PHOTO,
61,A Chandel,Ahilya Chandel,A Chandel,Japan,Allrounder,Left-hand bat,Left-arm medium,2003-01-10,2022-10-27,2026-06-10,ASSETS/player_photos/61.jpg,1341621.0,LOCAL_PLAYER_PHOTO,
62,Ajit Chandila,Ajit  Chandila,A Chandila,India,Allrounder,Right-hand bat,Right-arm offbreak,1983-12-05,2012-04-23,2013-05-09,ASSETS/player_photos/62.jpg,27783.0,LOCAL_PLAYER_PHOTO,
63,A Chanula,Ashen Chanula Akalanka,A Chanula,Sri Lanka,Wicketkeeper Batter,Right-hand bat,Not Available,2002-10-22,2024-05-17,2024-05-17,ASSETS/player_photos/63.jpg,1301674.0,LOCAL_PLAYER_PHOTO,
64,A Charles,Anushka Charles,A Charles,Croatia,Batter,Right-hand bat,Right-arm medium,1995-08-14,2024-06-14,2024-06-16,ASSETS/player_photos/64.jpg,1438307.0,LOCAL_PLAYER_PHOTO,
65,A Chaubey,Aman Chaubey,A Chaubey,Croatia,Bowler,Right-hand bat,Right-arm medium,2001-04-04,2024-08-02,2024-08-04,ASSETS/player_photos/65.jpg,1445726.0,LOCAL_PLAYER_PHOTO,
66,A Chaudhary,Aryaveer Chaudhary,A Chaudhary,Singapore,Bowling Allrounder,Left-hand bat,Left-arm medium,2006-06-02,2023-10-30,2025-02-16,ASSETS/player_photos/66.jpg,1329997.0,LOCAL_PLAYER_PHOTO,
67,A Chenthamara,Anudeep Chenthamara,A Chenthamara,Kuwait,Bowler,Right-hand bat,Right-arm medium-fast,1999-04-28,2025-04-09,2026-03-01,ASSETS/player_photos/67.jpg,1480306.0,LOCAL_PLAYER_PHOTO,
68,A Cheung,Amanda Cheung,A Cheung,Hong Kong,Allrounder,Left-hand bat,Right-arm medium,1996-04-13,2026-05-26,2026-05-28,ASSETS/player_photos/68.jpg,1236141.0,LOCAL_PLAYER_PHOTO,
69,A Chilia,Alvina Chilia,A Chilia,Vanuatu,Middle order Batter,Right-hand bat,Right-arm medium,1995-01-06,2017-04-28,2026-04-30,ASSETS/player_photos/69.jpg,1093531.0,LOCAL_PLAYER_PHOTO,
70,A Chopra,Aakash Chopra,A Chopra,India,Batter,Right-hand bat,"Right arm Medium, Right arm Offbreak",1977-09-19,2003-10-16,2009-06-18,ASSETS/player_photos/70.jpg,,LOCAL_PLAYER_PHOTO,
71,Aniket Choudhary,Aniket Vinod Choudhary,A Choudhary,India,Bowler,Right-hand bat,Left-arm medium,1990-01-28,2017-04-05,2022-10-16,ASSETS/player_photos/71.jpg,527299.0,LOCAL_PLAYER_PHOTO,
72,Alice Clarke,Alice Clarke,A Clarke,England,Top order Batter,Left-hand bat,Right-arm medium,2001-08-04,2020-09-19,2026-08-26,ASSETS/player_photos/72.jpg,1230753.0,LOCAL_PLAYER_PHOTO,
73,Achille Cloete,Achille Cloete,A Cloete,South Africa,Bowler,Right-hand bat,Right-arm fast,2001-07-13,2024-09-28,2024-10-19,ASSETS/player_photos/73.jpg,1070953.0,LOCAL_PLAYER_PHOTO,
74,Austin Codrington,Austin Codrington,A Codrington,Canada,Batter,Right-hand bat,Right-arm medium-fast,1975-08-22,2003-02-11,2007-02-05,ASSETS/player_photos/74.jpg,23848.0,LOCAL_PLAYER_PHOTO,
75,A Conteh,Aniru Conteh,A Conteh,Gambia,Allrounder,Right-hand bat,Right-arm medium,1988-12-08,2018-04-18,2022-12-09,ASSETS/player_photos/75.jpg,346649.0,LOCAL_PLAYER_PHOTO,
76,A Cossa,Alcinda Cossa,A Cossa,Mozambique,Allrounder,Right-hand bat,Right-arm medium,2000-12-23,2018-08-21,2021-09-16,ASSETS/player_photos/76.jpg,1158413.0,LOCAL_PLAYER_PHOTO,
77,Aylish Cranstone,Aylish Cranstone,A Cranstone,England,Top order Batter,Left-hand bat,Left-arm medium,1994-08-28,2018-07-22,2026-08-26,ASSETS/player_photos/77.jpg,517573.0,LOCAL_PLAYER_PHOTO,
78,A Curavic,Andrija Curavic,A Curavic,Croatia,Batter,Right-hand bat,Right-arm medium,1986-06-18,2025-12-05,2026-05-17,ASSETS/player_photos/78.jpg,1514454.0,LOCAL_PLAYER_PHOTO,
79,Arun Dagar,Arun Dagar,A Dagar,Tanzania,Batter,Not Available,Not Available,1992-04-17,2016-05-22,2017-04-13,ASSETS/player_photos/79.jpg,859423.0,LOCAL_PLAYER_PHOTO,
80,Alana Dalzell,Alana Dalzell,A Dalzell,Ireland,Bowler,Right-hand bat,Right-arm medium,2001-03-26,2022-06-14,2026-07-12,ASSETS/player_photos/80.jpg,1229005.0,LOCAL_PLAYER_PHOTO,
81,Akila Dananjaya,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,A Dananjaya,Sri Lanka,Allrounder,Left-hand bat,"Right-arm offbreak, Legbreak",1993-10-04,2012-09-27,2026-09-01,ASSETS/player_photos/81.jpg,574178.0,LOCAL_PLAYER_PHOTO,
82,Ashian Daniel,Ashian Angelo Daniel,A Daniel,Sri Lanka,Bowler,Right-hand bat,Right-arm offbreak,2001-02-20,2022-12-06,2026-09-01,ASSETS/player_photos/82.jpg,1162381.0,LOCAL_PLAYER_PHOTO,
83,Archana Das,Archana Das,A Das,India,Batter,Right-hand bat,Right-arm offbreak,1988-07-21,2012-06-26,2014-04-01,ASSETS/player_photos/83.jpg,372319.0,LOCAL_PLAYER_PHOTO,
84,A Dastgir,Amna Dastgir,A Dastgir,Norway,Middle order Batter,Right-hand bat,Right-arm medium-fast,2002-09-18,2021-08-29,2021-08-29,ASSETS/player_photos/84.jpg,1275239.0,LOCAL_PLAYER_PHOTO,
85,A Davidson Soler,Alec Davidson Soler,A Davidson Soler,Spain,Middle order Batter,Right-hand bat,Not Available,2004-03-21,2024-08-02,2026-08-18,ASSETS/player_photos/85.jpg,1445612.0,LOCAL_PLAYER_PHOTO,
86,A Davidson-Soler,Andrea Davidson-Soler,A Davidson-Soler,Spain,Allrounder,Right-hand bat,Right-arm medium,2006-06-14,2024-09-21,2025-05-29,ASSETS/player_photos/86.jpg,1451517.0,LOCAL_PLAYER_PHOTO,
87,A Daxini,Akshay Daxini,A Daxini,Croatia,Middle order Batter,Right-hand bat,Right-arm offbreak,1993-10-23,2023-06-23,2023-06-24,ASSETS/player_photos/87.jpg,1382802.0,LOCAL_PLAYER_PHOTO,
88,Ashley Day,Ashley Lauren Day,A Day,Australia,Opening Batter,Right-hand bat,Legbreak googly,1999-09-17,2019-01-09,2019-01-09,ASSETS/player_photos/88.jpg,1171104.0,LOCAL_PLAYER_PHOTO,
89,A Dcosta,Amanda Dcosta,A Dcosta,Oman,Bowling Allrounder,Right-hand bat,Slow left-arm orthodox,2005-03-11,2022-03-21,2026-06-10,ASSETS/player_photos/89.jpg,1306424.0,LOCAL_PLAYER_PHOTO,
90,Adam Dennison,Adam Dennison,A Dennison,Ireland,Middle order Batter,Right-hand bat,Not Available,1997-05-03,2016-07-31,2018-07-16,ASSETS/player_photos/90.jpg,526444.0,LOCAL_PLAYER_PHOTO,
91,A Denuwan,Achintha Denuwan,A Denuwan,Italy,Bowler,Right-hand bat,Right-arm medium,2004-11-06,2022-11-04,2022-11-06,ASSETS/player_photos/91.jpg,1343338.0,LOCAL_PLAYER_PHOTO,
92,Annerie Dercksen,Annerie Dercksen,A Dercksen,South Africa,Allrounder,Right-hand bat,Right-arm medium,2001-04-26,2023-01-25,2026-08-12,ASSETS/player_photos/92.jpg,1163087.0,LOCAL_PLAYER_PHOTO,
93,A Desai,Ayan Desai,A Desai,United States,Bowler,Left-hand bat,Left-arm fast-medium,2003-07-13,2024-07-23,2025-07-01,ASSETS/player_photos/93.jpg,1441681.0,LOCAL_PLAYER_PHOTO,
94,A Dhabe,Advait Dhabe,A Dhabe,Sweden,Bowler,Left-hand bat,Slow left-arm orthodox,2008-03-03,2025-06-14,2026-07-02,ASSETS/player_photos/94.jpg,1489796.0,LOCAL_PLAYER_PHOTO,
95,A Dhar,Anubhav Dhar,A Dhar,Cayman Islands,Bowler,Left-hand bat,Legbreak googly,1988-10-29,2025-06-21,2025-06-22,ASSETS/player_photos/95.jpg,1489664.0,LOCAL_PLAYER_PHOTO,
96,A Dhingra,Amit Dhingra,A Dhingra,Luxembourg,Bowler,Right-hand bat,Right-arm medium-fast,1998-06-29,2021-09-04,2023-10-15,ASSETS/player_photos/96.jpg,1275733.0,LOCAL_PLAYER_PHOTO,
97,Ashan Dilhara,Balachandra Archchige Ashan Dilhara,A Dilhara,Sri Lanka,Not Available,Left-hand bat,Left-arm medium-fast,2001-05-12,2024-08-05,2024-08-05,ASSETS/player_photos/97.jpg,1194774.0,LOCAL_PLAYER_PHOTO,
98,A Dineshi,Arumadura Dineshi,A Dineshi,Romania,Top order Batter,Right-hand bat,Right-arm medium,1997-07-20,2023-08-04,2023-08-05,ASSETS/player_photos/98.jpg,1390771.0,LOCAL_PLAYER_PHOTO,
99,A Dirannehelage,Ayesha Dirannehelage,A Dirannehelage,Cyprus,Allrounder,Right-hand bat,Right-arm medium,1998-09-04,2024-06-17,2026-06-20,ASSETS/player_photos/99.jpg,1438817.0,LOCAL_PLAYER_PHOTO,
100,A Dizija,Alexander Dizija,A Dizija,Serbia,Top order Batter,Right-hand bat,Right-arm offbreak,1992-02-09,2022-06-25,2026-07-14,ASSETS/player_photos/100.jpg,1321221.0,LOCAL_PLAYER_PHOTO,
